[time, indiv, gender, coords]
[13550, 'popsize', 25, 'queuesize', 0]
[15300, 11, 0, [7.093343734741211, -1.1745655536651611]]
[15300, 12, 0, [11.25993537902832, -8.40363883972168]]
[15300, 4, 0, [11.205020904541016, -3.7407941818237305]]
[15300, 9, 0, [6.20271110534668, -11.254618644714355]]
[15300, 18, 0, [3.7157692909240723, -3.7483649253845215]]
[15300, 6, 0, [1.2304143905639648, -8.505285263061523]]
[15300, 15, 0, [9.45425796508789, -1.191965103149414]]
[15300, 1, 0, [11.937044143676758, -11.189140319824219]]
[15300, 16, 0, [9.416146278381348, -8.6930513381958]]
[15300, 2, 0, [1.2279157638549805, -11.087356567382812]]
[15300, 22, 0, [4.3544020652771, -6.181796073913574]]
[15300, 23, 0, [6.2577643394470215, -3.732628583908081]]
[15300, 19, 0, [8.764504432678223, -3.7724905014038086]]
[15300, 3, 1, [1.1983205080032349, -1.283883810043335]]
[15300, 13, 1, [2.938656806945801, -11.181645393371582]]
[15300, 8, 1, [11.197992324829102, -6.24092960357666]]
[15300, 24, 1, [6.202243804931641, -6.2507429122924805]]
[15300, 5, 1, [8.717409133911133, -11.24494457244873]]
[15300, 21, 1, [6.228397846221924, -8.747346878051758]]
[15300, 7, 1, [4.44572639465332, -1.1900867223739624]]
[15300, 14, 1, [1.3481565713882446, -3.834393262863159]]
[15300, 20, 1, [8.797297477722168, -6.3018879890441895]]
[15300, 10, 1, [1.2928953170776367, -6.395007610321045]]
[15300, 0, 1, [11.857182502746582, -1.204818606376648]]
[15300, 17, 1, [3.7579853534698486, -8.770771980285645]]
[27600, 'popsize', 25, 'queuesize', 0]
[29200, 11, 0, [8.20714282989502, -0.8177975416183472]]
[29200, 12, 0, [11.529828071594238, -7.8120646476745605]]
[29200, 4, 0, [11.264680862426758, -3.723026990890503]]
[29200, 9, 0, [6.199734687805176, -11.296573638916016]]
[29200, 18, 0, [3.6999623775482178, -3.777195930480957]]
[29200, 6, 0, [1.459295630455017, -7.33955192565918]]
[29200, 15, 0, [10.582711219787598, -0.8525679707527161]]
[29200, 1, 0, [12.389381408691406, -11.022499084472656]]
[29200, 16, 0, [10.525407791137695, -8.35354995727539]]
[29200, 2, 0, [1.4103320837020874, -9.934042930603027]]
[29200, 22, 0, [5.453434467315674, -5.8184638023376465]]
[29200, 23, 0, [6.234481334686279, -3.738481044769287]]
[29200, 19, 0, [8.739625930786133, -3.7447433471679688]]
[29200, 3, 1, [1.230360746383667, -1.315186858177185]]
[29200, 13, 1, [1.799199104309082, -10.847929000854492]]
[29200, 8, 1, [11.189533233642578, -6.201042652130127]]
[29200, 24, 1, [6.197148323059082, -6.285802364349365]]
[29200, 5, 1, [8.696871757507324, -11.2803316116333]]
[29200, 21, 1, [6.186959743499756, -8.731228828430176]]
[29200, 7, 1, [5.569091796875, -0.8717586398124695]]
[29200, 14, 1, [1.3353313207626343, -3.8102355003356934]]
[29200, 20, 1, [8.538156509399414, -5.933462619781494]]
[29200, 10, 1, [1.7081959247589111, -7.4898834228515625]]
[29200, 0, 1, [12.380709648132324, -1.0554686784744263]]
[29200, 17, 1, [3.730745315551758, -8.745072364807129]]
[40950, 'popsize', 25, 'queuesize', 1]
[42400, 11, 0, [9.146727561950684, -0.2500838041305542]]
[42400, 12, 0, [12.307071685791016, -7.01376485824585]]
[42400, 4, 0, [11.257074356079102, -3.7640063762664795]]
[42400, 9, 0, [6.277334690093994, -11.255227088928223]]
[42400, 18, 0, [3.7128419876098633, -3.7920403480529785]]
[42400, 6, 0, [1.947357416152954, -6.3410844802856445]]
[42400, 15, 0, [11.547718048095703, -0.3088112473487854]]
[42400, 1, 0, [12.375066757202148, -11.0709228515625]]
[42400, 16, 0, [11.476364135742188, -7.7898149490356445]]
[42400, 2, 0, [1.853727102279663, -8.914471626281738]]
[42400, 22, 0, [6.361236095428467, -5.223770618438721]]
[42400, 23, 0, [6.225258827209473, -3.747863292694092]]
[42400, 19, 0, [8.730433464050293, -3.744684934616089]]
[42400, 3, 1, [1.2508797645568848, -1.3137454986572266]]
[42400, 13, 1, [1.4699954986572266, -10.414714813232422]]
[42400, 8, 1, [11.204730987548828, -6.183107376098633]]
[42400, 24, 1, [6.2077765464782715, -6.303966999053955]]
[42400, 5, 1, [8.706006050109863, -11.296714782714844]]
[42400, 21, 1, [6.199038028717041, -8.70199203491211]]
[42400, 7, 1, [6.497218608856201, -0.7533780336380005]]
[42400, 14, 1, [1.3208644390106201, -3.800966739654541]]
[42400, 20, 1, [8.114952087402344, -5.904518127441406]]
[42400, 10, 1, [1.8375242948532104, -8.589225769042969]]
[42400, 0, 1, [12.376879692077637, -1.0253608226776123]]
[42400, 17, 1, [3.7117562294006348, -8.74462604522705]]
[53300, 'popsize', 25, 'queuesize', 1]
[54700, 11, 0, [9.436199188232422, -0.10790137946605682]]
[54700, 12, 0, [12.37584400177002, -6.968713760375977]]
[54700, 4, 0, [11.007235527038574, -4.042017936706543]]
[54700, 9, 0, [6.28835916519165, -11.248218536376953]]
[54700, 18, 0, [3.702153205871582, -3.7797183990478516]]
[54700, 6, 0, [2.5865719318389893, -5.52344274520874]]
[54700, 15, 0, [11.923749923706055, -0.10798028111457825]]
[54700, 1, 0, [12.382532119750977, -11.046194076538086]]
[54700, 16, 0, [12.2064208984375, -7.078631401062012]]
[54700, 2, 0, [2.00519061088562, -9.049077987670898]]
[54700, 22, 0, [7.0600266456604, -4.486015796661377]]
[54700, 23, 0, [6.238290309906006, -3.740718364715576]]
[54700, 19, 0, [8.746949195861816, -3.7498598098754883]]
[54700, 3, 1, [1.236302375793457, -1.3145501613616943]]
[54700, 13, 1, [1.3298065662384033, -9.400367736816406]]
[54700, 8, 1, [11.195472717285156, -6.197299003601074]]
[54700, 24, 1, [6.196341514587402, -6.291657447814941]]
[54700, 5, 1, [8.69670581817627, -11.285238265991211]]
[54700, 21, 1, [6.138311386108398, -8.666259765625]]
[54700, 7, 1, [7.318851470947266, -1.0742619037628174]]
[54700, 14, 1, [1.3330636024475098, -3.8045694828033447]]
[54700, 20, 1, [8.101253509521484, -5.861729621887207]]
[54700, 10, 1, [1.9483972787857056, -8.947797775268555]]
[54700, 0, 1, [12.376620292663574, -1.003593921661377]]
[54700, 17, 1, [3.85646390914917, -8.789522171020508]]
[65200, 'popsize', 25, 'queuesize', 2]
[66600, 11, 0, [9.56467342376709, -0.10792851448059082]]
[66600, 12, 0, [12.382525444030762, -6.97325325012207]]
[66600, 4, 0, [10.916594505310059, -4.1521124839782715]]
[66600, 9, 0, [6.31402063369751, -11.25185775756836]]
[66600, 18, 0, [3.7041103839874268, -3.7555408477783203]]
[66600, 6, 0, [3.3315093517303467, -4.86767053604126]]
[66600, 15, 0, [12.054898262023926, -0.10787978023290634]]
[66600, 1, 0, [12.363554000854492, -11.118498802185059]]
[66600, 16, 0, [12.39693546295166, -6.8835039138793945]]
[66600, 2, 0, [1.9598119258880615, -9.241196632385254]]
[66600, 22, 0, [7.574324131011963, -3.6441586017608643]]
[66600, 23, 0, [6.243956089019775, -3.7089614868164062]]
[66600, 19, 0, [8.763640403747559, -3.7768213748931885]]
[66600, 3, 1, [1.2163264751434326, -1.297705054283142]]
[66600, 13, 1, [1.3954129219055176, -9.46149730682373]]
[66600, 8, 1, [11.199536323547363, -6.222144603729248]]
[66600, 24, 1, [6.195570468902588, -6.259315013885498]]
[66600, 5, 1, [8.734074592590332, -11.357927322387695]]
[66600, 21, 1, [6.194388389587402, -8.675283432006836]]
[66600, 7, 1, [7.559458255767822, -1.8492509126663208]]
[66600, 14, 1, [1.336594820022583, -3.8377668857574463]]
[66600, 20, 1, [8.203672409057617, -5.722661972045898]]
[66600, 10, 1, [2.0424633026123047, -8.904372215270996]]
[66600, 0, 1, [12.376664161682129, -1.0093504190444946]]
[66600, 17, 1, [4.2949700355529785, -8.801555633544922]]
[77200, 'popsize', 25, 'queuesize', 2]
[78650, 11, 0, [9.694939613342285, -0.10794533044099808]]
[78650, 12, 0, [12.23620319366455, -6.942140102386475]]
[78650, 4, 0, [10.89071273803711, -4.167606830596924]]
[78650, 9, 0, [6.3145222663879395, -11.24626350402832]]
[78650, 18, 0, [3.726489782333374, -3.735880136489868]]
[78650, 6, 0, [4.203855037689209, -4.366827487945557]]
[78650, 15, 0, [12.188063621520996, -0.1078847199678421]]
[78650, 1, 0, [12.392050743103027, -11.32282829284668]]
[78650, 16, 0, [12.359002113342285, -6.836883544921875]]
[78650, 2, 0, [1.9291902780532837, -9.26838207244873]]
[78650, 22, 0, [7.894970893859863, -2.6937150955200195]]
[78650, 23, 0, [6.228984355926514, -3.6966712474823]]
[78650, 19, 0, [8.75767707824707, -3.8002798557281494]]
[78650, 3, 1, [1.2091161012649536, -1.2759798765182495]]
[78650, 13, 1, [1.5168699026107788, -9.445273399353027]]
[78650, 8, 1, [11.23760986328125, -6.245871067047119]]
[78650, 24, 1, [6.213343620300293, -6.245127201080322]]
[78650, 5, 1, [8.509797096252441, -10.621464729309082]]
[78650, 21, 1, [6.219286918640137, -8.64583969116211]]
[78650, 7, 1, [7.2632575035095215, -1.886772632598877]]
[78650, 14, 1, [1.316531777381897, -3.85190486907959]]
[78650, 20, 1, [8.955726623535156, -5.148043632507324]]
[78650, 10, 1, [1.8719172477722168, -7.906204700469971]]
[78650, 0, 1, [12.376659393310547, -1.0171865224838257]]
[78650, 17, 1, [4.2885260581970215, -8.817745208740234]]
[89500, 'popsize', 25, 'queuesize', 2]
[91200, 11, 0, [9.82946491241455, -0.10792906582355499]]
[91200, 12, 0, [12.043468475341797, -6.993817329406738]]
[91200, 4, 0, [10.88187313079834, -4.175256729125977]]
[91200, 9, 0, [6.237143516540527, -11.242694854736328]]
[91200, 18, 0, [3.737722873687744, -3.7357137203216553]]
[91200, 6, 0, [5.196780681610107, -4.049519062042236]]
[91200, 15, 0, [12.32575511932373, -0.10798438638448715]]
[91200, 1, 0, [12.363454818725586, -11.415163040161133]]
[91200, 16, 0, [12.387499809265137, -6.856809616088867]]
[91200, 2, 0, [1.9991588592529297, -9.122722625732422]]
[91200, 22, 0, [7.7390594482421875, -2.274181604385376]]
[91200, 23, 0, [6.216816425323486, -3.6951162815093994]]
[91200, 19, 0, [8.75429916381836, -3.800417900085449]]
[91200, 3, 1, [1.2097375392913818, -1.2580276727676392]]
[91200, 13, 1, [1.512832522392273, -9.473535537719727]]
[91200, 8, 1, [11.237417221069336, -6.1804986000061035]]
[91200, 24, 1, [6.230406761169434, -6.239502429962158]]
[91200, 5, 1, [8.085871696472168, -9.703873634338379]]
[91200, 21, 1, [6.270748138427734, -8.671487808227539]]
[91200, 7, 1, [6.372949600219727, -1.370302438735962]]
[91200, 14, 1, [1.3063031435012817, -3.8563337326049805]]
[91200, 20, 1, [9.520591735839844, -4.6869797706604]]
[91200, 10, 1, [1.9418461322784424, -6.860368251800537]]
[91200, 0, 1, [12.376660346984863, -1.0231783390045166]]
[91200, 17, 1, [4.279050827026367, -8.819670677185059]]
[102251, 'popsize', 25, 'queuesize', 2]
[103651, 11, 0, [9.917282104492188, -0.15221427381038666]]
[103651, 12, 0, [12.07050895690918, -6.987298488616943]]
[103651, 4, 0, [10.882933616638184, -4.174935817718506]]
[103651, 9, 0, [6.2380805015563965, -11.247235298156738]]
[103651, 18, 0, [3.74584698677063, -3.7348811626434326]]
[103651, 6, 0, [6.244084358215332, -3.994868040084839]]
[103651, 15, 0, [12.390820503234863, -0.10794716328382492]]
[103651, 1, 0, [12.392058372497559, -11.52479076385498]]
[103651, 16, 0, [12.386788368225098, -6.907905101776123]]
[103651, 2, 0, [1.9980781078338623, -9.123063087463379]]
[103651, 22, 0, [6.772809982299805, -2.1427969932556152]]
[103651, 23, 0, [6.197562217712402, -3.693732738494873]]
[103651, 19, 0, [8.749988555908203, -3.8020849227905273]]
[103651, 3, 1, [1.2074674367904663, -1.2606313228607178]]
[103651, 13, 1, [1.4972553253173828, -9.497827529907227]]
[103651, 8, 1, [11.242173194885254, -6.224944591522217]]
[103651, 24, 1, [6.233409404754639, -6.241758823394775]]
[103651, 5, 1, [7.57758903503418, -9.082762718200684]]
[103651, 21, 1, [6.809853553771973, -8.697548866271973]]
[103651, 7, 1, [5.386569976806641, -1.0751067399978638]]
[103651, 14, 1, [1.3021875619888306, -3.85955810546875]]
[103651, 20, 1, [9.518771171569824, -4.668642044067383]]
[103651, 10, 1, [2.259917974472046, -5.865493297576904]]
[103651, 0, 1, [12.37666130065918, -1.0274789333343506]]
[103651, 17, 1, [4.273630142211914, -8.831194877624512]]
[114301, 'popsize', 25, 'queuesize', 2]
[115701, 11, 0, [9.754281997680664, -0.10673633217811584]]
[115701, 12, 0, [12.075385093688965, -6.988588809967041]]
[115701, 4, 0, [10.818809509277344, -3.7960739135742188]]
[115701, 9, 0, [6.242037296295166, -11.229029655456543]]
[115701, 18, 0, [3.761474609375, -3.744981527328491]]
[115701, 6, 0, [7.241250991821289, -4.192069053649902]]
[115701, 15, 0, [12.390823364257812, -0.10795705765485764]]
[115701, 1, 0, [12.33774185180664, -11.624110221862793]]
[115701, 16, 0, [12.392106056213379, -7.008235931396484]]
[115701, 2, 0, [1.9533238410949707, -9.044978141784668]]
[115701, 22, 0, [6.330821514129639, -1.4171686172485352]]
[115701, 23, 0, [6.184121131896973, -3.704366445541382]]
[115701, 19, 0, [8.723739624023438, -3.8044557571411133]]
[115701, 3, 1, [0.9096449613571167, -1.5142289400100708]]
[115701, 13, 1, [1.80704665184021, -9.708600044250488]]
[115701, 8, 1, [11.165807723999023, -6.229062080383301]]
[115701, 24, 1, [6.253421306610107, -6.252757549285889]]
[115701, 5, 1, [7.405494213104248, -9.026546478271484]]
[115701, 21, 1, [6.965973854064941, -8.795666694641113]]
[115701, 7, 1, [4.395915508270264, -1.016299843788147]]
[115701, 14, 1, [1.359532356262207, -3.734375238418579]]
[115701, 20, 1, [9.604740142822266, -4.686811447143555]]
[115701, 10, 1, [2.781921148300171, -4.99226188659668]]
[115701, 0, 1, [12.376663208007812, -1.0311964750289917]]
[115701, 17, 1, [4.245108604431152, -8.825606346130371]]
[126201, 'popsize', 25, 'queuesize', 2]
[127751, 11, 0, [9.422867774963379, -0.10541529208421707]]
[127751, 12, 0, [12.070712089538574, -6.99220609664917]]
[127751, 4, 0, [10.43914794921875, -2.9153432846069336]]
[127751, 9, 0, [6.25130558013916, -11.224188804626465]]
[127751, 18, 0, [3.762099504470825, -3.771876096725464]]
[127751, 6, 0, [8.160144805908203, -4.593847274780273]]
[127751, 15, 0, [12.390806198120117, -0.10793932527303696]]
[127751, 1, 0, [12.364302635192871, -11.872729301452637]]
[127751, 16, 0, [12.392037391662598, -7.138753414154053]]
[127751, 2, 0, [1.9297552108764648, -9.220502853393555]]
[127751, 22, 0, [5.740580081939697, -0.6191496849060059]]
[127751, 23, 0, [6.185177326202393, -3.723630428314209]]
[127751, 19, 0, [8.706971168518066, -3.792280673980713]]
[127751, 3, 1, [0.49827978014945984, -1.3041749000549316]]
[127751, 13, 1, [1.948819875717163, -9.779975891113281]]
[127751, 8, 1, [11.19255542755127, -6.177874565124512]]
[127751, 24, 1, [6.253489971160889, -6.276145935058594]]
[127751, 5, 1, [7.4387125968933105, -8.954048156738281]]
[127751, 21, 1, [6.871107578277588, -8.496814727783203]]
[127751, 7, 1, [3.7216076850891113, -1.119713306427002]]
[127751, 14, 1, [1.4565420150756836, -3.8034603595733643]]
[127751, 20, 1, [9.59262752532959, -4.4706645011901855]]
[127751, 10, 1, [3.4748950004577637, -4.258368015289307]]
[127751, 0, 1, [12.376664161682129, -1.035243272781372]]
[127751, 17, 1, [4.191096305847168, -8.652507781982422]]
[138301, 'popsize', 25, 'queuesize', 2]
[139701, 11, 0, [9.25605583190918, -0.10605083405971527]]
[139701, 12, 0, [12.070226669311523, -6.993253707885742]]
[139701, 4, 0, [10.093624114990234, -2.457488536834717]]
[139701, 9, 0, [6.23510217666626, -11.211018562316895]]
[139701, 18, 0, [3.7280776500701904, -3.7790443897247314]]
[139701, 6, 0, [8.963836669921875, -5.1918721199035645]]
[139701, 15, 0, [12.390809059143066, -0.1079515814781189]]
