[time, indiv, gender, coords]
[7650, 'popsize', 15, 'queuesize', 0]
[8450, 0, 0, [11.238579750061035, -1.2000467777252197]]
[8450, 9, 0, [6.681286334991455, -11.22294807434082]]
[8450, 11, 0, [6.2235107421875, -1.3053685426712036]]
[8450, 13, 0, [3.7010653018951416, -11.281868934631348]]
[8450, 7, 0, [3.694922685623169, -1.2348787784576416]]
[8450, 16, 0, [8.395197868347168, -8.742670059204102]]
[8450, 24, 0, [6.200852870941162, -6.220122337341309]]
[8450, 19, 0, [8.508752822875977, -3.74126935005188]]
[8450, 22, 1, [3.515970230102539, -6.157716751098633]]
[8450, 17, 1, [4.169546127319336, -8.719422340393066]]
[8450, 21, 1, [5.925661087036133, -8.759590148925781]]
[8450, 8, 1, [11.201711654663086, -6.206115245819092]]
[8450, 10, 1, [1.2016079425811768, -6.293595790863037]]
[8450, 14, 1, [0.9757187962532043, -3.789849042892456]]
[8450, 6, 1, [1.5584914684295654, -8.735864639282227]]
[14600, 'popsize', 15, 'queuesize', 0]
[15400, 0, 0, [11.256309509277344, -1.2136808633804321]]
[15400, 9, 0, [7.245720863342285, -11.116812705993652]]
[15400, 11, 0, [6.239174842834473, -1.3056896924972534]]
[15400, 13, 0, [3.969487190246582, -11.39136028289795]]
[15400, 7, 0, [3.7247793674468994, -1.2712091207504272]]
[15400, 16, 0, [7.816709995269775, -8.676362037658691]]
[15400, 24, 0, [6.207650661468506, -6.2074432373046875]]
[15400, 19, 0, [8.629837989807129, -3.621812343597412]]
[15400, 22, 1, [2.979283094406128, -5.9389472007751465]]
[15400, 17, 1, [4.733636379241943, -8.605957984924316]]
[15400, 21, 1, [5.782682418823242, -9.198725700378418]]
[15400, 8, 1, [11.191115379333496, -6.18300724029541]]
[15400, 10, 1, [1.2164896726608276, -6.302254676818848]]
[15400, 14, 1, [0.6184675097465515, -4.101281642913818]]
[15400, 6, 1, [2.1246190071105957, -8.642953872680664]]
[21650, 'popsize', 15, 'queuesize', 0]
[22450, 0, 0, [11.262832641601562, -1.2348557710647583]]
[22450, 9, 0, [7.801856517791748, -10.940740585327148]]
[22450, 11, 0, [6.206443786621094, -1.271704912185669]]
[22450, 13, 0, [3.989549398422241, -11.440357208251953]]
[22450, 7, 0, [3.74623441696167, -1.2649534940719604]]
[22450, 16, 0, [7.2398576736450195, -8.533428192138672]]
[22450, 24, 0, [6.1298370361328125, -6.1982035636901855]]
