[time, indiv, gender, coords]
[8100, 'popsize', 15, 'queuesize', 0]
[8900, 1, 0, [11.710590362548828, -11.217926979064941]]
[8900, 13, 0, [4.201867580413818, -11.2273588180542]]
[8900, 12, 0, [11.673698425292969, -8.725285530090332]]
[8900, 17, 0, [3.7111148834228516, -8.693750381469727]]
[8900, 10, 0, [0.9143633842468262, -6.291329383850098]]
[8900, 15, 0, [8.625633239746094, -1.2001748085021973]]
[8900, 21, 0, [6.249027729034424, -8.850687026977539]]
[8900, 3, 0, [1.1158645153045654, -1.1828829050064087]]
[8900, 9, 1, [6.709554195404053, -11.220946311950684]]
[8900, 19, 1, [8.314374923706055, -3.72994327545166]]
[8900, 2, 1, [1.2112195491790771, -11.200468063354492]]
[8900, 5, 1, [8.714147567749023, -11.252730369567871]]
[8900, 18, 1, [3.386935234069824, -3.737230062484741]]
[8900, 11, 1, [6.583873271942139, -1.2377345561981201]]
[8900, 24, 1, [5.958194732666016, -6.254132270812988]]
[15100, 'popsize', 15, 'queuesize', 0]
[15900, 1, 0, [12.281817436218262, -11.115316390991211]]
[15900, 13, 0, [4.7758259773254395, -11.133269309997559]]
[15900, 12, 0, [12.134830474853516, -8.692110061645508]]
[15900, 17, 0, [4.0821943283081055, -8.611001014709473]]
[15900, 10, 0, [0.4426795542240143, -6.524642467498779]]
[15900, 15, 0, [8.122570037841797, -0.9143596291542053]]
[15900, 21, 0, [6.210702419281006, -9.007509231567383]]
[15900, 3, 0, [1.2214964628219604, -0.9710399508476257]]
[15900, 9, 1, [7.267823696136475, -11.103829383850098]]
[15900, 19, 1, [7.73387336730957, -3.6392855644226074]]
[15900, 2, 1, [1.227784514427185, -11.195497512817383]]
[15900, 5, 1, [8.689804077148438, -11.296141624450684]]
[15900, 18, 1, [2.805210828781128, -3.6629445552825928]]
[15900, 11, 1, [6.681850910186768, -1.233402967453003]]
[15900, 24, 1, [5.731004238128662, -6.260899543762207]]
[22150, 'popsize', 15, 'queuesize', 0]
[22950, 1, 0, [12.383646011352539, -11.047534942626953]]
[22950, 13, 0, [5.322206020355225, -10.954683303833008]]
[22950, 12, 0, [12.376030921936035, -8.868213653564453]]
[22950, 17, 0, [4.044741153717041, -8.749537467956543]]
[22950, 10, 0, [0.13832376897335052, -6.895337104797363]]
[22950, 15, 0, [7.57716703414917, -0.7127135992050171]]
[22950, 21, 0, [6.130908012390137, -8.973258972167969]]
[22950, 3, 0, [1.2133876085281372, -0.8662605285644531]]
[22950, 9, 1, [7.81785774230957, -10.909550666809082]]
[22950, 19, 1, [7.1649627685546875, -3.473876953125]]
[22950, 2, 1, [1.2448527812957764, -11.207930564880371]]
[22950, 5, 1, [8.654062271118164, -11.285651206970215]]
[22950, 18, 1, [2.231151580810547, -3.516942024230957]]
[22950, 11, 1, [6.751271724700928, -1.2870615720748901]]
[22950, 24, 1, [6.046928882598877, -6.269467830657959]]
[29050, 'popsize', 15, 'queuesize', 0]
[29850, 1, 0, [12.350569725036621, -11.032878875732422]]
[29850, 13, 0, [5.817006587982178, -10.701420783996582]]
[29850, 12, 0, [12.376391410827637, -8.89773941040039]]
[29850, 17, 0, [3.644111394882202, -9.153352737426758]]
[29850, 10, 0, [0.12588916718959808, -6.8966240882873535]]
[29850, 15, 0, [7.018484592437744, -0.5964577794075012]]
[29850, 21, 0, [5.590871334075928, -9.133854866027832]]
[29850, 3, 0, [1.4488905668258667, -0.8007855415344238]]
[29850, 9, 1, [8.325590133666992, -10.64426040649414]]
[29850, 19, 1, [6.639580726623535, -3.2404990196228027]]
[29850, 2, 1, [1.2609943151474, -11.22053050994873]]
[29850, 5, 1, [8.67122745513916, -11.316930770874023]]
[29850, 18, 1, [1.6946693658828735, -3.301048517227173]]
[29850, 11, 1, [6.809816360473633, -1.2162342071533203]]
[29850, 24, 1, [6.1771674156188965, -6.371027946472168]]
[35950, 'popsize', 15, 'queuesize', 0]
[36750, 1, 0, [12.380243301391602, -11.109850883483887]]
[36750, 13, 0, [5.672719955444336, -10.663496017456055]]
[36750, 12, 0, [12.366941452026367, -8.880500793457031]]
[36750, 17, 0, [3.3024535179138184, -9.61513900756836]]
[36750, 10, 0, [0.12363865226507187, -6.898913383483887]]
[36750, 15, 0, [6.4555840492248535, -0.5607138276100159]]
[36750, 21, 0, [5.075534820556641, -9.382107734680176]]
[36750, 3, 0, [1.4688891172409058, -0.9531399607658386]]
[36750, 9, 1, [8.422234535217285, -10.626725196838379]]
[36750, 19, 1, [6.1454758644104, -2.9369149208068848]]
[36750, 2, 1, [1.2599846124649048, -11.238912582397461]]
[36750, 5, 1, [8.633206367492676, -11.366890907287598]]
[36750, 18, 1, [1.1898950338363647, -3.018756866455078]]
[36750, 11, 1, [6.771990776062012, -1.2525837421417236]]
[36750, 24, 1, [6.098301887512207, -6.171324729919434]]
[42900, 'popsize', 15, 'queuesize', 0]
[43700, 1, 0, [12.382025718688965, -11.126873016357422]]
[43700, 13, 0, [5.102705001831055, -10.728466033935547]]
[43700, 12, 0, [12.206070899963379, -8.847232818603516]]
[43700, 17, 0, [3.018306016921997, -10.11662483215332]]
[43700, 10, 0, [0.12364289164543152, -6.904192924499512]]
[43700, 15, 0, [5.888728141784668, -0.5993331074714661]]
[43700, 21, 0, [4.5906500816345215, -9.699166297912598]]
[43700, 3, 0, [1.616498589515686, -0.8468512296676636]]
[43700, 9, 1, [8.8447904586792, -10.387748718261719]]
[43700, 19, 1, [5.687859535217285, -2.572190284729004]]
[43700, 2, 1, [1.249342441558838, -11.252548217773438]]
[43700, 5, 1, [8.546050071716309, -11.317015647888184]]
[43700, 18, 1, [0.728655219078064, -2.6674716472625732]]
[43700, 11, 1, [6.406424045562744, -1.7013344764709473]]
[43700, 24, 1, [5.8500823974609375, -5.7634596824646]]
[49900, 'popsize', 15, 'queuesize', 0]
[50700, 1, 0, [12.38449478149414, -11.15471076965332]]
[50700, 13, 0, [4.53226900100708, -10.861260414123535]]
[50700, 12, 0, [12.341680526733398, -8.927868843078613]]
[50700, 17, 0, [3.0058605670928955, -10.239893913269043]]
[50700, 10, 0, [0.12365004420280457, -6.910432815551758]]
[50700, 15, 0, [5.338435649871826, -0.7289546132087708]]
[50700, 21, 0, [4.170834541320801, -10.058316230773926]]
[50700, 3, 0, [1.607495903968811, -0.8673015236854553]]
[50700, 9, 1, [9.325750350952148, -10.065634727478027]]
[50700, 19, 1, [5.269886016845703, -2.1567182540893555]]
[50700, 2, 1, [1.2340413331985474, -11.266830444335938]]
[50700, 5, 1, [8.579056739807129, -11.323811531066895]]
[50700, 18, 1, [0.30800727009773254, -2.254208564758301]]
[50700, 11, 1, [6.100184917449951, -2.1917197704315186]]
[50700, 24, 1, [5.824183464050293, -5.782158374786377]]
[56800, 'popsize', 15, 'queuesize', 0]
[57600, 1, 0, [12.384081840515137, -11.177408218383789]]
[57600, 13, 0, [3.997452735900879, -11.059535026550293]]
[57600, 12, 0, [12.304302215576172, -8.919636726379395]]
[57600, 17, 0, [2.884756326675415, -10.08019733428955]]
[57600, 10, 0, [0.12366817891597748, -6.917240142822266]]
[57600, 15, 0, [4.806064605712891, -0.9329906702041626]]
[57600, 21, 0, [3.692349672317505, -10.278671264648438]]
[57600, 3, 0, [1.590341329574585, -0.8416522145271301]]
[57600, 9, 1, [9.741153717041016, -9.683303833007812]]
