[time, indiv, gender, coords]
[11000, 'popsize', 20, 'queuesize', 0]
[12150, 16, 0, [8.743494033813477, -8.748017311096191]]
[12150, 14, 0, [1.8886539936065674, -3.688701629638672]]
[12150, 9, 0, [5.641660213470459, -11.176169395446777]]
[12150, 3, 0, [1.233417272567749, -1.3468652963638306]]
[12150, 0, 0, [11.249192237854004, -1.2032700777053833]]
[12150, 5, 0, [8.759300231933594, -11.28642463684082]]
[12150, 2, 0, [1.2497732639312744, -11.284625053405762]]
[12150, 11, 0, [6.241639137268066, -1.1923142671585083]]
[12150, 24, 0, [6.649435997009277, -6.225946426391602]]
[12150, 12, 0, [11.134634017944336, -8.841806411743164]]
[12150, 8, 1, [11.249898910522461, -6.218425750732422]]
[12150, 4, 1, [11.855278015136719, -3.6846585273742676]]
[12150, 20, 1, [8.753588676452637, -6.260530948638916]]
[12150, 1, 1, [11.821922302246094, -11.203330993652344]]
[12150, 21, 1, [5.683893203735352, -8.724089622497559]]
[12150, 19, 1, [8.704117774963379, -3.6496448516845703]]
[12150, 17, 1, [3.7155776023864746, -8.746790885925293]]
[12150, 18, 1, [4.240246772766113, -3.727322578430176]]
[12150, 13, 1, [4.199544906616211, -11.216142654418945]]
[12150, 7, 1, [3.7269656658172607, -1.312321662902832]]
[21100, 'popsize', 20, 'queuesize', 0]
[22250, 16, 0, [8.496184349060059, -8.50694465637207]]
[22250, 14, 0, [2.650113582611084, -3.436472177505493]]
[22250, 9, 0, [4.845448970794678, -10.907885551452637]]
[22250, 3, 0, [1.3246022462844849, -0.8933336734771729]]
[22250, 0, 0, [11.267439842224121, -1.2614266872406006]]
[22250, 5, 0, [8.92091178894043, -11.184556007385254]]
[22250, 2, 0, [1.1965739727020264, -11.258148193359375]]
[22250, 11, 0, [6.197949409484863, -1.232508897781372]]
[22250, 24, 0, [7.038238048553467, -5.68660306930542]]
[22250, 12, 0, [10.508846282958984, -9.329059600830078]]
[22250, 8, 1, [11.240982055664062, -6.185688495635986]]
[22250, 4, 1, [12.38176155090332, -3.5158982276916504]]
[22250, 20, 1, [8.714383125305176, -6.300881862640381]]
[22250, 1, 1, [12.379324913024902, -11.064624786376953]]
[22250, 21, 1, [4.854767799377441, -8.561992645263672]]
[22250, 19, 1, [8.738542556762695, -3.6847150325775146]]
[22250, 17, 1, [3.7359681129455566, -8.808955192565918]]
[22250, 18, 1, [5.066901683807373, -3.580726146697998]]
[22250, 13, 1, [4.982425212860107, -11.01732063293457]]
[22250, 7, 1, [3.749695062637329, -1.3082282543182373]]
[31600, 'popsize', 21, 'queuesize', 0]
[32700, 16, 0, [8.358708381652832, -8.394603729248047]]
[32700, 14, 0, [3.363595962524414, -2.9562883377075195]]
[32700, 9, 0, [4.66353702545166, -10.801387786865234]]
[32700, 3, 0, [1.067751407623291, -0.8104897737503052]]
[32700, 0, 0, [11.334208488464355, -1.2893919944763184]]
[32700, 5, 0, [9.149259567260742, -11.053271293640137]]
[32700, 2, 0, [1.2545143365859985, -11.254422187805176]]
[32700, 11, 0, [6.2537312507629395, -1.2199896574020386]]
[32700, 24, 0, [7.356016159057617, -4.882654666900635]]
[32700, 12, 0, [9.872218132019043, -9.839881896972656]]
[32700, 23, 0, [5.799183368682861, -3.729062557220459]]
[32700, 8, 1, [11.188737869262695, -6.168073654174805]]
[32700, 4, 1, [12.394328117370605, -3.380962610244751]]
[32700, 20, 1, [8.722496032714844, -6.246417045593262]]
[32700, 1, 1, [12.394417762756348, -10.940637588500977]]
[32700, 21, 1, [4.561266899108887, -8.660199165344238]]
[32700, 19, 1, [9.08963394165039, -3.752397298812866]]
[32700, 17, 1, [3.7471437454223633, -8.747674942016602]]
[32700, 18, 1, [5.708888053894043, -3.3499815464019775]]
[32700, 13, 1, [5.216593265533447, -10.819429397583008]]
[32700, 7, 1, [3.826195240020752, -1.2602559328079224]]
[41600, 'popsize', 21, 'queuesize', 0]
[42800, 16, 0, [8.352992057800293, -8.767107009887695]]
[42800, 14, 0, [3.9261207580566406, -2.347172260284424]]
[42800, 9, 0, [4.1794209480285645, -10.394795417785645]]
[42800, 3, 0, [0.37464380264282227, -0.39455336332321167]]
[42800, 0, 0, [11.334992408752441, -1.306307315826416]]
[42800, 5, 0, [9.089462280273438, -11.074085235595703]]
[42800, 2, 0, [1.2005305290222168, -11.290231704711914]]
[42800, 11, 0, [6.186556816101074, -1.1983104944229126]]
[42800, 24, 0, [7.468842506408691, -4.215946674346924]]
[42800, 12, 0, [9.361896514892578, -10.271939277648926]]
[42800, 23, 0, [4.979581356048584, -3.519838333129883]]
[42800, 8, 1, [11.23835563659668, -6.177482604980469]]
[42800, 4, 1, [12.393990516662598, -3.243347644805908]]
[42800, 20, 1, [8.745223045349121, -6.30415153503418]]
[42800, 1, 1, [12.394021987915039, -10.803064346313477]]
[42800, 21, 1, [4.327032089233398, -9.467411994934082]]
[42800, 19, 1, [8.959981918334961, -3.633613348007202]]
[42800, 17, 1, [3.7579376697540283, -8.77270793914795]]
[42800, 18, 1, [5.742513656616211, -3.247896909713745]]
[42800, 13, 1, [5.19299840927124, -10.786478996276855]]
[42800, 7, 1, [3.843885660171509, -1.2510077953338623]]
[51800, 'popsize', 21, 'queuesize', 0]
[53050, 16, 0, [8.40963077545166, -8.732793807983398]]
[53050, 14, 0, [4.199960231781006, -1.980613112449646]]
[53050, 9, 0, [4.079378128051758, -10.246719360351562]]
[53050, 3, 0, [0.11991991847753525, -0.2481103390455246]]
[53050, 0, 0, [11.441078186035156, -1.2468401193618774]]
[53050, 5, 0, [9.136757850646973, -11.045337677001953]]
[53050, 2, 0, [1.2342772483825684, -11.239020347595215]]
[53050, 11, 0, [6.1022162437438965, -1.2780591249465942]]
[53050, 24, 0, [7.891920566558838, -4.018583297729492]]
[53050, 12, 0, [9.03783893585205, -10.155000686645508]]
[53050, 23, 0, [4.626874923706055, -3.321988582611084]]
[53050, 8, 1, [11.221307754516602, -6.148936748504639]]
[53050, 4, 1, [12.3939208984375, -3.1056482791900635]]
[53050, 20, 1, [8.693456649780273, -6.264458656311035]]
[53050, 1, 1, [12.393957138061523, -10.664766311645508]]
[53050, 21, 1, [4.014456748962402, -10.09960651397705]]
[53050, 19, 1, [8.801902770996094, -3.407335042953491]]
[53050, 17, 1, [3.4320008754730225, -8.962630271911621]]
[53050, 18, 1, [6.3124918937683105, -3.1938858032226562]]
[53050, 13, 1, [5.256143093109131, -11.143047332763672]]
[53050, 7, 1, [3.9743762016296387, -1.1464565992355347]]
[62400, 'popsize', 22, 'queuesize', 0]
[63850, 16, 0, [8.49137020111084, -8.762890815734863]]
[63850, 14, 0, [4.2151103019714355, -2.29836106300354]]
[63850, 9, 0, [4.188579082489014, -10.470966339111328]]
[63850, 3, 0, [0.11533650010824203, -0.2112690806388855]]
[63850, 0, 0, [11.551883697509766, -1.100767970085144]]
[63850, 5, 0, [9.097077369689941, -11.100190162658691]]
[63850, 2, 0, [1.2251436710357666, -11.888842582702637]]
[63850, 11, 0, [5.836845874786377, -1.4332009553909302]]
[63850, 24, 0, [7.994717121124268, -3.3056559562683105]]
[63850, 12, 0, [9.158391952514648, -10.134833335876465]]
[63850, 23, 0, [4.770686626434326, -3.650960922241211]]
[63850, 6, 0, [1.2697196006774902, -8.7098388671875]]
[63850, 8, 1, [11.156742095947266, -6.139706611633301]]
[63850, 4, 1, [12.393970489501953, -2.9612772464752197]]
[63850, 20, 1, [8.756081581115723, -6.259565353393555]]
[63850, 1, 1, [12.394309043884277, -10.52012825012207]]
[63850, 21, 1, [4.043835639953613, -10.362700462341309]]
[63850, 19, 1, [8.8251371383667, -3.352137565612793]]
[63850, 17, 1, [3.4705047607421875, -8.992321968078613]]
[63850, 18, 1, [7.177793502807617, -3.0088441371917725]]
[63850, 13, 1, [5.6166791915893555, -11.230061531066895]]
[63850, 7, 1, [3.8957509994506836, -1.164254069328308]]
[73450, 'popsize', 22, 'queuesize', 0]
[74650, 16, 0, [8.520021438598633, -8.642720222473145]]
[74650, 14, 0, [4.240024089813232, -2.412492513656616]]
[74650, 9, 0, [5.0364155769348145, -10.841678619384766]]
[74650, 3, 0, [0.11378291249275208, -0.18710429966449738]]
[74650, 0, 0, [11.547977447509766, -0.8827384114265442]]
[74650, 5, 0, [9.079693794250488, -11.053876876831055]]
[74650, 2, 0, [1.3353904485702515, -12.380839347839355]]
[74650, 11, 0, [5.964372634887695, -1.790657877922058]]
[74650, 24, 0, [7.9356303215026855, -2.482487678527832]]
[74650, 12, 0, [9.172588348388672, -10.261823654174805]]
[74650, 23, 0, [4.812437534332275, -3.651428699493408]]
[74650, 6, 0, [1.5549675226211548, -8.386412620544434]]
[74650, 8, 1, [11.218633651733398, -6.150278568267822]]
[74650, 4, 1, [12.39392375946045, -2.8113200664520264]]
[74650, 20, 1, [8.743124008178711, -6.295792102813721]]
[74650, 1, 1, [12.393976211547852, -10.37077522277832]]
[74650, 21, 1, [4.279572010040283, -10.658166885375977]]
[74650, 19, 1, [8.76451587677002, -3.198432207107544]]
[74650, 17, 1, [3.411750555038452, -8.98275375366211]]
[74650, 18, 1, [7.885278701782227, -2.660341739654541]]
[74650, 13, 1, [5.949718952178955, -11.424962997436523]]
[74650, 7, 1, [3.954550266265869, -1.0698425769805908]]
[84550, 'popsize', 23, 'queuesize', 0]
[85850, 16, 0, [7.987081050872803, -8.91236686706543]]
[85850, 14, 0, [4.232329845428467, -2.4607458114624023]]
[85850, 9, 0, [5.7809038162231445, -11.34326457977295]]
[85850, 3, 0, [0.10906121879816055, -0.1183067113161087]]
[85850, 0, 0, [11.567265510559082, -0.9599069356918335]]
[85850, 5, 0, [9.124921798706055, -11.073542594909668]]
[85850, 2, 0, [1.3156969547271729, -12.38930606842041]]
[85850, 11, 0, [6.2227349281311035, -2.090303897857666]]
[85850, 24, 0, [7.668062210083008, -3.106567144393921]]
[85850, 12, 0, [9.289850234985352, -9.885530471801758]]
[85850, 23, 0, [5.653323650360107, -3.2358527183532715]]
[85850, 6, 0, [1.523415207862854, -8.347238540649414]]
[85850, 8, 1, [11.194236755371094, -6.077577590942383]]
[85850, 4, 1, [12.394002914428711, -2.660163164138794]]
[85850, 20, 1, [8.69775104522705, -6.282510757446289]]
[85850, 1, 1, [12.393991470336914, -10.220786094665527]]
[85850, 21, 1, [5.209540367126465, -10.684920310974121]]
[85850, 19, 1, [8.694175720214844, -2.9191882610321045]]
[85850, 17, 1, [3.457477331161499, -9.00606632232666]]
[85850, 18, 1, [7.891465187072754, -1.916519284248352]]
[85850, 13, 1, [5.967403888702393, -11.481298446655273]]
[85850, 7, 1, [3.8531315326690674, -1.142272710800171]]
[85850, 15, 1, [9.24831485748291, -1.216355323791504]]
[95850, 'popsize', 23, 'queuesize', 0]
[97150, 16, 0, [7.469548225402832, -9.155250549316406]]
[97150, 14, 0, [4.182014465332031, -2.4506309032440186]]
[97150, 9, 0, [6.076048851013184, -11.570183753967285]]
[97150, 3, 0, [0.10852240771055222, -0.10867054015398026]]
[97150, 0, 0, [11.560552597045898, -0.8716781139373779]]
[97150, 5, 0, [9.087258338928223, -11.111729621887207]]
[97150, 2, 0, [1.352897047996521, -12.382755279541016]]
[97150, 11, 0, [6.192149639129639, -2.068321466445923]]
[97150, 24, 0, [7.622926235198975, -4.038547992706299]]
[97150, 12, 0, [9.32857608795166, -9.866703987121582]]
[97150, 23, 0, [6.565548419952393, -2.987032175064087]]
[97150, 6, 0, [1.3608293533325195, -7.926128387451172]]
[97150, 8, 1, [11.186497688293457, -6.095869064331055]]
[97150, 4, 1, [12.394219398498535, -2.504133462905884]]
[97150, 20, 1, [8.715031623840332, -6.240122318267822]]
[97150, 1, 1, [12.393986701965332, -10.067880630493164]]
[97150, 21, 1, [6.140052318572998, -10.887959480285645]]
[97150, 19, 1, [8.742148399353027, -2.9340732097625732]]
[97150, 17, 1, [3.4457762241363525, -9.04894733428955]]
[97150, 18, 1, [7.571760177612305, -1.031633734703064]]
[97150, 13, 1, [5.767552375793457, -11.904764175415039]]
[97150, 7, 1, [3.9965105056762695, -1.052919626235962]]
