[time, indiv, gender, coords]
[7850, 'popsize', 15, 'queuesize', 0]
[8650, 13, 0, [3.2657294273376465, -11.228180885314941]]
[8650, 21, 0, [6.22607946395874, -8.739385604858398]]
[8650, 7, 0, [3.5981011390686035, -1.3158115148544312]]
[8650, 8, 0, [10.975603103637695, -6.255593299865723]]
[8650, 6, 0, [1.2899954319000244, -8.751194953918457]]
[8650, 22, 0, [3.398050308227539, -6.235928058624268]]
[8650, 23, 0, [5.922604084014893, -3.7394251823425293]]
[8650, 15, 0, [8.451031684875488, -1.236985683441162]]
[8650, 18, 1, [3.5474934577941895, -3.865410327911377]]
[8650, 20, 1, [8.735424041748047, -6.308294296264648]]
[8650, 14, 1, [1.2289143800735474, -3.706575870513916]]
[8650, 16, 1, [9.133170127868652, -8.721141815185547]]
[8650, 10, 1, [1.5256623029708862, -6.318381309509277]]
[8650, 24, 1, [6.199872016906738, -6.292544841766357]]
[8650, 12, 1, [10.930261611938477, -8.74434757232666]]
[14950, 'popsize', 15, 'queuesize', 0]
[15750, 13, 0, [2.6805906295776367, -11.120776176452637]]
[15750, 21, 0, [6.232841968536377, -8.76955795288086]]
[15750, 7, 0, [3.476799488067627, -1.22356379032135]]
[15750, 8, 0, [10.62978744506836, -6.001058101654053]]
[15750, 6, 0, [1.3445744514465332, -8.772226333618164]]
[15750, 22, 0, [2.8070883750915527, -6.143991470336914]]
[15750, 23, 0, [5.329523086547852, -3.663318157196045]]
[15750, 15, 0, [7.885400295257568, -1.220479965209961]]
[15750, 18, 1, [3.5154125690460205, -3.9577105045318604]]
[15750, 20, 1, [8.756058692932129, -6.2920989990234375]]
[15750, 14, 1, [1.3709192276000977, -3.618131399154663]]
[15750, 16, 1, [9.285737037658691, -8.723933219909668]]
[15750, 10, 1, [1.8810994625091553, -6.602452278137207]]
[15750, 24, 1, [6.2153215408325195, -6.309305191040039]]
[15750, 12, 1, [10.336271286010742, -8.677820205688477]]
[21850, 'popsize', 15, 'queuesize', 0]
[22700, 13, 0, [2.125173807144165, -10.944698333740234]]
[22700, 21, 0, [6.212592601776123, -8.800554275512695]]
[22700, 7, 0, [3.4450807571411133, -1.2321343421936035]]
[22700, 8, 0, [10.102408409118652, -5.851978778839111]]
[22700, 6, 0, [1.388968825340271, -8.809638977050781]]
[22700, 22, 0, [2.5614876747131348, -6.04193115234375]]
[22700, 23, 0, [4.766964435577393, -3.513181686401367]]
[22700, 15, 0, [7.390374660491943, -1.25677490234375]]
[22700, 18, 1, [3.6991236209869385, -3.7814671993255615]]
[22700, 20, 1, [8.767330169677734, -6.281575679779053]]
[22700, 14, 1, [1.7918293476104736, -3.22114896774292]]
[22700, 16, 1, [9.287614822387695, -8.694524765014648]]
[22700, 10, 1, [1.9680246114730835, -6.669270038604736]]
[22700, 24, 1, [6.215671539306641, -6.291072368621826]]
[22700, 12, 1, [9.770829200744629, -8.537236213684082]]
[28950, 'popsize', 15, 'queuesize', 0]
[29800, 13, 0, [1.5811830759048462, -10.6907377243042]]
[29800, 21, 0, [6.122374534606934, -8.99415111541748]]
[29800, 7, 0, [3.2926015853881836, -1.0509963035583496]]
[29800, 8, 0, [9.531478881835938, -5.867051124572754]]
[29800, 6, 0, [1.4188028573989868, -8.859420776367188]]
