[time, indiv, gender, coords]
[11500, 'popsize', 15, 'queuesize', 0]
[13100, 22, 0, [3.0759623050689697, -6.17484188079834]]
[13100, 15, 0, [8.08700942993164, -1.2163212299346924]]
[13100, 20, 0, [8.731345176696777, -6.241096019744873]]
[13100, 17, 0, [3.778099775314331, -8.739533424377441]]
[13100, 24, 0, [5.671385288238525, -6.2133259773254395]]
[13100, 2, 0, [1.2140604257583618, -11.223993301391602]]
[13100, 9, 0, [5.718411922454834, -11.23218059539795]]
[13100, 11, 0, [6.751309871673584, -1.2294663190841675]]
[13100, 13, 1, [4.4236650466918945, -11.192831039428711]]
[13100, 5, 1, [8.101147651672363, -11.209981918334961]]
[13100, 23, 1, [6.1493239402771, -3.7318115234375]]
[13100, 1, 1, [10.651731491088867, -11.216557502746582]]
[13100, 19, 1, [8.754605293273926, -3.752368688583374]]
[13100, 7, 1, [3.7491326332092285, -1.1888749599456787]]
[13100, 21, 1, [6.251979351043701, -8.796324729919434]]
[23500, 'popsize', 15, 'queuesize', 0]
[25100, 22, 0, [2.163666248321533, -5.800229072570801]]
[25100, 15, 0, [7.524951457977295, -1.0610053539276123]]
[25100, 20, 0, [8.720222473144531, -6.200714111328125]]
[25100, 17, 0, [3.0997722148895264, -9.04059886932373]]
[25100, 24, 0, [4.692892551422119, -5.979633808135986]]
[25100, 2, 0, [1.2796179056167603, -11.13508129119873]]
[25100, 9, 0, [5.116126537322998, -11.07688045501709]]
[25100, 11, 0, [7.364474773406982, -1.1339449882507324]]
[25100, 13, 1, [5.217193603515625, -10.961030960083008]]
[25100, 5, 1, [7.401920318603516, -11.026598930358887]]
[25100, 23, 1, [5.948650360107422, -3.524387836456299]]
[25100, 1, 1, [9.66650104522705, -10.999656677246094]]
[25100, 19, 1, [8.76084041595459, -3.7584822177886963]]
[25100, 7, 1, [3.761828899383545, -1.2020347118377686]]
[25100, 21, 1, [6.135344982147217, -8.788228034973145]]
[35850, 'popsize', 16, 'queuesize', 0]
[37400, 22, 0, [1.4171167612075806, -5.1077656745910645]]
[37400, 15, 0, [7.658889293670654, -0.932750403881073]]
[37400, 20, 0, [8.668828964233398, -6.231309413909912]]
[37400, 17, 0, [3.0407044887542725, -8.949917793273926]]
[37400, 24, 0, [3.7649712562561035, -5.529022216796875]]
[37400, 2, 0, [1.565237283706665, -11.065181732177734]]
[37400, 9, 0, [5.338714599609375, -10.860941886901855]]
[37400, 11, 0, [7.543333053588867, -1.067191243171692]]
[37400, 16, 0, [9.083340644836426, -8.732391357421875]]
[37400, 13, 1, [5.481983184814453, -10.812165260314941]]
[37400, 5, 1, [6.958648204803467, -10.461991310119629]]
[37400, 23, 1, [5.7647013664245605, -3.3513944149017334]]
[37400, 1, 1, [8.725098609924316, -10.580389976501465]]
[37400, 19, 1, [9.414055824279785, -3.9242563247680664]]
[37400, 7, 1, [3.751141309738159, -1.1880149841308594]]
[37400, 21, 1, [5.76196813583374, -9.021183013916016]]
[47900, 'popsize', 16, 'queuesize', 0]
[49600, 22, 0, [0.9664015769958496, -4.224087715148926]]
[49600, 15, 0, [7.713049411773682, -0.8012703061103821]]
[49600, 20, 0, [8.648088455200195, -6.171241283416748]]
[49600, 17, 0, [3.583507776260376, -8.11096477508545]]
[49600, 24, 0, [2.9533281326293945, -4.918761730194092]]
[49600, 2, 0, [1.5332410335540771, -11.065413475036621]]
[49600, 9, 0, [5.27217960357666, -10.952475547790527]]
[49600, 11, 0, [7.660620212554932, -0.9725508093833923]]
[49600, 16, 0, [8.094050407409668, -8.87550163269043]]
[49600, 13, 1, [5.162765979766846, -11.051274299621582]]
[49600, 5, 1, [6.48685884475708, -9.567432403564453]]
[49600, 23, 1, [5.300601959228516, -3.569835662841797]]
[49600, 1, 1, [7.912226676940918, -9.96597957611084]]
[49600, 19, 1, [9.77270793914795, -3.7812538146972656]]
[49600, 7, 1, [3.772416114807129, -1.1796581745147705]]
[49600, 21, 1, [5.645744800567627, -8.996208190917969]]
[59800, 'popsize', 16, 'queuesize', 0]
[61500, 22, 0, [0.8561456203460693, -3.256741762161255]]
[61500, 15, 0, [7.700799465179443, -0.679171085357666]]
[61500, 20, 0, [8.699968338012695, -6.19994592666626]]
[61500, 17, 0, [3.9178078174591064, -7.1834306716918945]]
[61500, 24, 0, [2.288095235824585, -4.17176628112793]]
[61500, 2, 0, [1.494288444519043, -11.035568237304688]]
[61500, 9, 0, [5.21586799621582, -10.905773162841797]]
[61500, 11, 0, [7.750042915344238, -0.8706554770469666]]
[61500, 16, 0, [7.6396284103393555, -9.063464164733887]]
[61500, 13, 1, [5.193080425262451, -10.759020805358887]]
[61500, 5, 1, [6.37730073928833, -9.290602684020996]]
[61500, 23, 1, [5.040595054626465, -3.147603988647461]]
[61500, 1, 1, [7.296037197113037, -9.208375930786133]]
[61500, 19, 1, [9.852354049682617, -3.4684488773345947]]
[61500, 7, 1, [3.7247817516326904, -1.117008924484253]]
[61500, 21, 1, [5.289333343505859, -8.782830238342285]]
[71900, 'popsize', 16, 'queuesize', 0]
[73400, 22, 0, [1.1086336374282837, -2.2970521450042725]]
[73400, 15, 0, [7.8236284255981445, -0.9476781487464905]]
[73400, 20, 0, [8.713516235351562, -6.1616129875183105]]
[73400, 17, 0, [4.049518585205078, -6.558137893676758]]
[73400, 24, 0, [1.7799279689788818, -3.3031458854675293]]
[73400, 2, 0, [1.4974627494812012, -11.0624418258667]]
[73400, 9, 0, [5.279135704040527, -10.915544509887695]]
[73400, 11, 0, [7.762729167938232, -0.7481618523597717]]
[73400, 16, 0, [7.6478657722473145, -9.574721336364746]]
[73400, 13, 1, [5.4119768142700195, -10.985631942749023]]
[73400, 5, 1, [5.740092754364014, -8.968257904052734]]
[73400, 23, 1, [4.789141654968262, -3.4785590171813965]]
[73400, 1, 1, [6.984857082366943, -8.857867240905762]]
[73400, 19, 1, [9.832313537597656, -3.900597333908081]]
[73400, 7, 1, [3.7666916847229004, -1.1024236679077148]]
